name,city,industry,contact_person,email
Real Estate Business 1,Delhi,Real Estate,N/A,business1@example.com
Real Estate Business 2,Delhi,Real Estate,N/A,business2@example.com
Real Estate Business 3,Delhi,Real Estate,N/A,business3@example.com
Real Estate Business 4,Delhi,Real Estate,N/A,business4@example.com
Real Estate Business 5,Delhi,Real Estate,N/A,business5@example.com
Real Estate Business 6,Delhi,Real Estate,N/A,business6@example.com
Real Estate Business 7,Delhi,Real Estate,N/A,business7@example.com
Real Estate Business 8,Delhi,Real Estate,N/A,business8@example.com
Real Estate Business 9,Delhi,Real Estate,N/A,business9@example.com
Real Estate Business 10,Delhi,Real Estate,N/A,business10@example.com
Real Estate Business 11,Delhi,Real Estate,N/A,business11@example.com
Real Estate Business 12,Delhi,Real Estate,N/A,business12@example.com
Real Estate Business 13,Delhi,Real Estate,N/A,business13@example.com
Real Estate Business 14,Delhi,Real Estate,N/A,business14@example.com
Real Estate Business 15,Delhi,Real Estate,N/A,business15@example.com
Real Estate Business 16,Delhi,Real Estate,N/A,business16@example.com
Real Estate Business 17,Delhi,Real Estate,N/A,business17@example.com
Real Estate Business 18,Delhi,Real Estate,N/A,business18@example.com
Real Estate Business 19,Delhi,Real Estate,N/A,business19@example.com
Real Estate Business 20,Delhi,Real Estate,N/A,business20@example.com
